Local,Stats,Visitor,Game ID
65,Field Goals Attempted,76,p82pHHOm
37,Field Goals Made,35,p82pHHOm
56.9%,Field Goals %,46.1%,p82pHHOm
47,2-Point Field G. Attempted,43,p82pHHOm
29,2-Point Field Goals Made,24,p82pHHOm
61.7%,2-Point Field Goals %,55.8%,p82pHHOm
18,3-Point Field G. Attempted,33,p82pHHOm
8,3-Point Field Goals Made,11,p82pHHOm
44.4%,3-Point Field Goals %,33.3%,p82pHHOm
30,Free Throws Attempted,9,p82pHHOm
17,Free Throws Made,7,p82pHHOm
56.7%,Free Throws %,77.8%,p82pHHOm
4,Offensive Rebounds,10,p82pHHOm
32,Defensive Rebounds,27,p82pHHOm
36,Total Rebounds,37,p82pHHOm
23,Assists,16,p82pHHOm
0,Blocks,3,p82pHHOm
12,Turnovers,18,p82pHHOm
10,Steals,9,p82pHHOm
17,Personal Fouls,26,p82pHHOm
